mode,band_index,wavelength_nm,denominator_mean,denominator_std,denominator_min,denominator_q01,denominator_q05,denominator_nonpositive_fraction,denominator_below_floor_fraction,snr_proxy,low_snr,white_max,dark_max,white_at_dtype_max_fraction,dark_at_dtype_max_fraction,retained
200,82,1431.54,58929.80625,1060.098052639914,54875.0,56046.82,56773.95,0.0,0.0,55.589014717317646,False,64415.0,3930.0,0.0,0.0,True
200,83,1437.85,59138.9,1054.590926022977,55822.0,56107.35,56892.8,0.0,0.0,56.07757334213157,False,65535.0,4038.0,0.003125,0.0,True
200,84,1444.16,59697.2125,1068.0499659864936,55930.0,56760.98,57553.4,0.0,0.0,55.89365142188008,False,65535.0,4020.0,0.009375,0.0,True
200,85,1450.47,59949.528125,983.3105685433186,56370.0,57100.32,57860.65,0.0,0.0,60.96703324750133,False,65535.0,3779.0,0.009375,0.0,True
200,86,1456.78,60300.084375,993.2732956019,57068.0,57484.66,58113.7,0.0,0.0,60.708452187330295,False,65535.0,4142.0,0.003125,0.0,True
200,87,1463.09,60432.13125,1031.8075167023342,57045.0,57730.27,58286.35,0.0,0.0,58.569190737378584,False,65535.0,3844.0,0.009375,0.0,True
200,88,1469.4,60435.284375,997.1082957762709,57544.0,57924.8,58285.75,0.0,0.0,60.61055216469715,False,65535.0,4276.0,0.015625,0.0,True
200,89,1475.71,60271.96875,987.974183125975,56977.0,57483.37,58200.95,0.0,0.0,61.00561105685771,False,65535.0,3964.0,0.00625,0.0,True
200,90,1482.01,60302.846875,979.356165257428,57128.0,57571.67,58295.0,0.0,0.0,61.57396973056179,False,65535.0,4123.0,0.00625,0.0,True
200,91,1488.32,60240.821875,969.254853687349,57213.0,57633.96,58333.65,0.0,0.0,62.151684508800734,False,65535.0,3860.0,0.003125,0.0,True
200,92,1494.63,60205.1625,986.2007046457379,57074.0,57411.03,58165.9,0.0,0.0,61.047576032331854,False,65534.0,4182.0,0.0,0.0,True
200,93,1500.93,60213.48125,1001.445274165512,57057.0,57372.48,58132.5,0.0,0.0,60.126581854584956,False,65465.0,3821.0,0.0,0.0,True
200,94,1507.24,60180.13125,1016.9847167108449,56859.0,57439.64,58102.55,0.0,0.0,59.17505962590656,False,65535.0,3902.0,0.003125,0.0,True
200,95,1513.55,60115.60625,1051.325274337556,56157.0,56864.06,58042.35,0.0,0.0,57.18078668647913,False,65535.0,3885.0,0.009375,0.0,True
200,96,1519.85,60009.20625,999.1513999194204,56218.0,57075.07,57976.0,0.0,0.0,60.06017331791715,False,65535.0,3882.0,0.0125,0.0,True
200,97,1526.16,59811.9,1033.6963964336917,55977.0,56832.09,57559.85,0.0,0.0,57.86215392290641,False,65535.0,3952.0,0.009375,0.0,True
200,98,1532.46,59561.546875,998.9708849875127,55788.0,56444.03,57542.65,0.0,0.0,59.62290570234634,False,65535.0,4183.0,0.003125,0.0,True
200,99,1538.77,59163.04375,963.9923615288336,55060.0,56339.3,57132.4,0.0,0.0,61.372938325124196,False,64307.0,4133.0,0.0,0.0,True
200,100,1545.07,58709.915625,908.2113684357068,55406.0,55986.29,56811.1,0.0,0.0,64.64344938350776,False,63863.0,3845.0,0.0,0.0,True
200,101,1551.37,58237.43125,950.3221567044712,54830.0,55704.67,56238.7,0.0,0.0,61.281777804650794,False,65535.0,3898.0,0.00625,0.0,True
200,102,1557.68,57826.721875,1084.7088236118873,54431.0,54755.71,55871.95,0.0,0.0,53.31082463443716,False,65535.0,3933.0,0.015625,0.0,True
200,103,1563.98,57372.496875,998.8662416661374,53703.0,54680.95,55428.5,0.0,0.0,57.43761725223687,False,65535.0,3869.0,0.009375,0.0,True
200,104,1570.28,56910.25,970.9102398007758,53106.0,54188.14,54906.95,0.0,0.0,58.615356669507925,False,65535.0,4218.0,0.003125,0.0,True
200,105,1576.59,56418.975,944.6940539799115,52626.0,53609.92,54575.45,0.0,0.0,59.72195417374741,False,61511.0,3993.0,0.0,0.0,True
200,106,1582.89,55947.678125,871.6292285263754,52061.0,53274.54,54129.8,0.0,0.0,64.18747363438945,False,60857.0,4060.0,0.0,0.0,True
200,107,1589.19,55335.965625,885.3285735778325,51511.0,52639.02,53552.45,0.0,0.0,62.503309253166385,False,60563.0,3987.0,0.0,0.0,True
200,108,1595.49,54601.271875,859.5602497550618,50741.0,51742.13,52801.85,0.0,0.0,63.522332367694965,False,59646.0,3881.0,0.0,0.0,True
200,109,1601.79,53636.6375,843.8344586432519,49204.0,51283.05,51869.4,0.0,0.0,63.562985548420116,False,58756.0,4196.0,0.0,0.0,True
200,110,1608.1,52451.190625,868.5927724124289,48220.0,49615.03,50774.35,0.0,0.0,60.38640003798563,False,57445.0,3762.0,0.0,0.0,True
200,111,1614.4,50891.6375,812.9756568272817,46862.0,48100.69,49381.8,0.0,0.0,62.59921446923713,False,56258.0,4381.0,0.0,0.0,True
200,112,1620.7,49279.753125,801.7271736243786,45156.0,46657.39,47769.15,0.0,0.0,61.46698620956093,False,58500.0,3838.0,0.0,0.0,True
200,113,1627.0,47289.253125,929.0265007268276,43830.0,44747.74,45841.35,0.0,0.0,50.90194207377616,False,57917.0,3878.0,0.0,0.0,True
200,114,1633.3,45250.29375,813.7618401356366,41544.0,43012.77,43676.55,0.0,0.0,55.60631073884921,False,54758.0,4250.0,0.0,0.0,True
200,115,1639.6,42873.021875,825.5705088885409,39729.0,40568.99,41373.55,0.0,0.0,51.93138734172997,False,52817.0,3868.0,0.0,0.0,True
200,116,1645.9,40242.89375,710.2407302886378,37529.0,37976.72,38867.6,0.0,0.0,56.660920774911716,False,49324.0,3837.0,0.0,0.0,True
200,117,1652.2,37316.984375,544.6038265389433,34868.0,35278.11,36176.85,0.0,0.0,68.52134075545553,False,42689.0,4210.0,0.0,0.0,True
200,118,1658.49,34515.1375,522.9512344318063,31867.0,32718.45,33492.3,0.0,0.0,66.00068080439871,False,39979.0,3983.0,0.0,0.0,True
200,119,1664.79,31972.584375,443.01281627156044,29471.0,30475.8,31175.7,0.0,0.0,72.17078874621359,False,37734.0,3786.0,0.0,0.0,True
200,120,1671.09,30012.3,516.7699657487846,27632.0,28542.76,29215.45,0.0,0.0,58.07671108848788,False,38443.0,3780.0,0.0,0.0,True
200,121,1677.39,28389.8625,586.9114976670247,26330.0,26680.4,27661.2,0.0,0.0,48.371624363894306,False,35831.0,3939.0,0.0,0.0,True
200,122,1683.69,27108.76875,536.7063818080027,24904.0,25492.44,26240.75,0.0,0.0,50.50949582279727,False,35202.0,4068.0,0.0,0.0,True
200,123,1689.98,25774.296875,495.03615018525096,23917.0,24430.44,24900.6,0.0,0.0,52.06548423858493,False,31599.0,3804.0,0.0,0.0,True
200,124,1696.28,24702.425,491.8584787568473,22902.0,23399.01,23869.4,0.0,0.0,50.2226271720157,False,30618.0,3947.0,0.0,0.0,True
200,125,1702.58,23796.3875,462.09572854956144,21878.0,22749.19,23071.7,0.0,0.0,51.496661903135724,False,29163.0,4371.0,0.0,0.0,True
200,126,1708.87,23287.46875,395.3446427149829,21536.0,22254.12,22770.85,0.0,0.0,58.90422237690129,False,28880.0,3828.0,0.0,0.0,True
200,127,1715.17,23121.66875,403.16833056855734,21089.0,21988.04,22507.0,0.0,0.0,57.34991316751797,False,28716.0,4063.0,0.0,0.0,True
200,128,1721.46,22917.68125,432.8728576596568,20719.0,21719.5,22310.2,0.0,0.0,52.94321610716191,False,28537.0,4200.0,0.0,0.0,True
200,129,1727.76,22516.109375,482.81925050903817,20335.0,21065.14,21812.7,0.0,0.0,46.6346554145493,False,27960.0,4641.0,0.0,0.0,True
200,130,1734.05,22198.703125,561.709174075192,20056.0,20772.19,21373.75,0.0,0.0,39.51992267448418,False,29040.0,3968.0,0.0,0.0,True
200,131,1740.35,21845.3,635.026247489031,19657.0,20216.64,20850.6,0.0,0.0,34.4006253070308,False,29157.0,3942.0,0.0,0.0,True
200,132,1746.64,21527.128125,598.8145626644232,19622.0,20230.02,20688.7,0.0,0.0,35.94957348601391,False,28632.0,3966.0,0.0,0.0,True
200,133,1752.94,21411.1625,611.123579845967,19455.0,20114.9,20653.2,0.0,0.0,35.03573287975015,False,28934.0,3904.0,0.0,0.0,True
200,134,1759.23,21692.096875,551.9041413508639,19726.0,20525.36,20978.55,0.0,0.0,39.30410237891215,False,29424.0,3905.0,0.0,0.0,True
200,135,1765.52,22079.728125,574.6075980258044,19790.0,20711.84,21325.95,0.0,0.0,38.425750374446686,False,30170.0,3815.0,0.0,0.0,True
200,136,1771.82,22385.23125,520.0237641429836,20184.0,20941.14,21686.55,0.0,0.0,43.04655439524299,False,30376.0,4157.0,0.0,0.0,True
200,137,1778.11,22461.803125,460.36337752392336,20352.0,20946.66,21767.15,0.0,0.0,48.79146392098205,False,27088.0,3776.0,0.0,0.0,True
200,138,1784.4,22396.0625,473.80958315946924,20359.0,20902.23,21647.5,0.0,0.0,47.268065687185874,False,27248.0,3783.0,0.0,0.0,True
200,139,1790.69,22299.16875,463.0603122417613,20754.0,21002.93,21629.5,0.0,0.0,48.15607850745299,False,28573.0,4190.0,0.0,0.0,True
200,140,1796.99,22230.790625,454.71173207550885,20943.0,21151.27,21527.45,0.0,0.0,48.88985494948332,False,29081.0,3802.0,0.0,0.0,True
200,141,1803.28,21979.99375,402.5006288329715,20850.0,20988.29,21290.25,0.0,0.0,54.608594808236035,False,28283.0,3920.0,0.0,0.0,True
200,142,1809.57,21672.0,359.88444325922177,20275.0,20804.29,21019.15,0.0,0.0,60.219329859695485,False,26652.0,4303.0,0.0,0.0,True
200,143,1815.86,21274.60625,313.21661028900985,19710.0,20468.03,20746.5,0.0,0.0,67.92298221467092,False,26562.0,3913.0,0.0,0.0,True
200,144,1822.15,20773.2,298.41476588801703,18993.0,19860.0,20280.5,0.0,0.0,69.61183686130086,False,25587.0,3957.0,0.0,0.0,True
200,145,1828.44,20250.51875,312.6514127561837,18106.0,19132.41,19741.8,0.0,0.0,64.77027745207083,False,25246.0,3867.0,0.0,0.0,True
200,146,1834.73,19763.33125,354.6952516223434,17613.0,18675.17,19171.5,0.0,0.0,55.719187554962424,False,24714.0,3820.0,0.0,0.0,True
200,147,1841.02,19031.69375,427.9394451449147,16814.0,17976.97,18357.25,0.0,0.0,44.47286635041362,False,24411.0,3943.0,0.0,0.0,True
200,148,1847.31,18759.809375,435.82256055315605,16849.0,17786.54,17995.95,0.0,0.0,43.04460363683232,False,23886.0,3799.0,0.0,0.0,True
200,149,1853.6,18559.165625,474.30937366170554,17035.0,17517.02,17759.4,0.0,0.0,39.12881898521581,False,23683.0,4285.0,0.0,0.0,True
200,150,1859.89,18369.9375,520.3152852778304,16853.0,17411.09,17549.5,0.0,0.0,35.3053965927429,False,23661.0,4342.0,0.0,0.0,True
200,151,1866.18,18052.978125,509.71330436480116,16711.0,17077.03,17286.95,0.0,0.0,35.41790643957661,False,22767.0,3956.0,0.0,0.0,True
200,152,1872.46,17234.984375,498.4570409081001,15694.0,16305.66,16454.7,0.0,0.0,34.57666952321686,False,23173.0,4709.0,0.0,0.0,True
200,153,1878.75,16322.01875,510.6520032257168,14915.0,15136.71,15589.5,0.0,0.0,31.9630955071087,False,20952.0,3847.0,0.0,0.0,True
200,154,1885.04,16654.059375,621.9074686797139,15066.0,15210.93,15634.55,0.0,0.0,26.778998828163154,False,21483.0,4062.0,0.0,0.0,True
