condition,k,fold,repeat,scope,cluster_id,pooled_pixels,pooled_fraction,sample_macro_fraction
B0,8,1,1,clean_test,7,6537,0.007211824877430971,0.013663422164578531
B0,8,1,1,clean_test,8,3257,0.003593225275476927,0.004334157861479912
B0,8,1,2,clean_test,1,221713,0.24460078461830392,0.27923291246208803
B0,8,1,2,clean_test,2,34815,0.038409007665253056,0.049790301670990966
B0,8,1,2,clean_test,3,415978,0.4589200686651339,0.4005717525191298
B0,8,1,2,clean_test,4,65287,0.0720266805526749,0.08909905481632988
B0,8,1,2,clean_test,5,4118,0.004543107670989864,0.006358766530238061
B0,8,1,2,clean_test,6,4622,0.00509913639031451,0.01102258492264134
B0,8,1,2,clean_test,7,3123,0.0034453922429580727,0.004150239603928448
B0,8,1,2,clean_test,8,156772,0.17295582219437175,0.15977438747465347
B0,8,1,3,clean_test,1,428093,0.47228571932905866,0.42992881690384743
B0,8,1,3,clean_test,2,6674,0.00736296760470771,0.013836182131627581
B0,8,1,3,clean_test,3,1759,0.001940584359706452,0.003324368931811703
B0,8,1,3,clean_test,4,188559,0.2080242446173331,0.24134831126155176
B0,8,1,3,clean_test,5,2856,0.003150829409506326,0.003820232889383268
B0,8,1,3,clean_test,6,54796,0.06045267798435176,0.07720785596945748
B0,8,1,3,clean_test,7,198659,0.21916688363554523,0.19565850282705502
B0,8,1,3,clean_test,8,25032,0.02761609305979074,0.034875729085265775
B0,8,2,1,clean_test,1,146769,0.1877645794553933,0.17616736225046298
B0,8,2,1,clean_test,2,62749,0.0802760773477129,0.058707629675663196
B0,8,2,1,clean_test,3,53979,0.06905643722054844,0.08453138070088348
B0,8,2,1,clean_test,4,227037,0.2904530713285103,0.2946979416483499
B0,8,2,1,clean_test,5,1995,0.002552244247855539,0.00201345072054572
B0,8,2,1,clean_test,6,196511,0.2514005360352581,0.2947389289590685
B0,8,2,1,clean_test,7,18628,0.02383118087671829,0.02742318165708414
B0,8,2,1,clean_test,8,73997,0.09466587348800318,0.061720124387942055
B0,8,2,2,clean_test,1,43128,0.05517453128897929,0.06746022739301293
B0,8,2,2,clean_test,2,137374,0.17574536406260993,0.16367627237492416
B0,8,2,2,clean_test,3,5901,0.007549269827867437,0.005447388622929873
B0,8,2,2,clean_test,4,38097,0.04873827023085337,0.04248256512447925
B0,8,2,2,clean_test,5,61613,0.07882276934492398,0.10263931323699446
B0,8,2,2,clean_test,6,192108,0.24576768820402603,0.26818693463392995
B0,8,2,2,clean_test,7,104547,0.13374911247145516,0.088274148106576
B0,8,2,2,clean_test,8,198897,0.2544529945692848,0.26183315050715333
B0,8,2,3,clean_test,1,50613,0.06475024467003128,0.07969117098085467
B0,8,2,3,clean_test,2,201901,0.2582960731259555,0.30093750616621984
B0,8,2,3,clean_test,3,4088,0.0052298618973601226,0.003883522606730086
B0,8,2,3,clean_test,4,20412,0.026113488514900883,0.031118909069602962
B0,8,2,3,clean_test,5,95850,0.122622862735315,0.08010993247637974
