condition,fold,repeat,sample_id,k,scope,valid_pixels,used_clusters,max_occupancy,single_cluster,cluster_counts,cluster_fractions
A1,3,2,KYOw02717,6,clean_test,82044,6,0.6442518648530057,False,"[8097, 260, 63, 52857, 16186, 4581]","[0.09869094632148603, 0.003169031251523573, 0.000767880649407635, 0.6442518648530057, 0.19728438398907902, 0.055835892935498024]"
A1,3,2,KYOw02717,8,clean_test,82044,8,0.5420262298278973,False,"[24252, 2870, 3675, 3189, 150, 51, 3387, 44470]","[0.29559748427672955, 0.03498122958412559, 0.04479303788211204, 0.03886938715811028, 0.001828287260494369, 0.0006216176685680854, 0.04128272634196285, 0.5420262298278973]"
A1,3,2,KYOw02717,10,clean_test,82044,10,0.5709131685437082,False,"[46840, 737, 1719, 20213, 7, 35, 5972, 8, 4976, 1537]","[0.5709131685437082, 0.008982984739895665, 0.020952172005265467, 0.2463678026424845, 8.532007215640387e-05, 0.0004266003607820194, 0.07279021013114914, 9.750865389303301e-05, 0.06065038272146653, 0.018733850129198967]"
A1,3,2,KYOw02717,12,clean_test,82044,11,0.5554580469016626,False,"[1015, 5655, 11, 2433, 45572, 8, 2279, 782, 15045, 0, 9208, 36]","[0.012371410462678563, 0.0689264297206377, 0.0001340743991029204, 0.029654819365218663, 0.5554580469016626, 9.750865389303301e-05, 0.027777777777777776, 0.009531470918043976, 0.18337721222758518, 0.0, 0.11223246063088099, 0.00043878894251864854]"
A1,3,2,KYOw02717,14,clean_test,82044,14,0.4713324557554483,False,"[2228, 10895, 6, 4224, 125, 578, 1, 287, 1771, 18226, 38670, 643, 21, 4369]","[0.027156160109209692, 0.13279459802057433, 7.313149041977475e-05, 0.051484569255521424, 0.0015235727170786408, 0.007045000243771635, 1.2188581736629126e-05, 0.003498122958412559, 0.021585978255570182, 0.22214909073180245, 0.4713324557554483, 0.007837258056652528, 0.00025596021646921165, 0.05325191360733265]"
A1,3,2,KYOw02756,2,clean_test,101107,2,0.9537618562512982,False,"[96432, 4675]","[0.9537618562512982, 0.046238143748701874]"
A1,3,2,KYOw02756,4,clean_test,101107,4,0.5609107183478889,False,"[56712, 13, 3461, 40921]","[0.5609107183478889, 0.00012857665641350253, 0.0342310621420871, 0.4047296428536105]"
A1,3,2,KYOw02756,6,clean_test,101107,6,0.7760590265758058,False,"[7659, 938, 25, 78465, 8976, 5044]","[0.0757514316516166, 0.009277300285835798, 0.0002472628007951972, 0.7760590265758058, 0.08877723599750759, 0.04988774268843898]"
A1,3,2,KYOw02756,8,clean_test,101107,8,0.46183745932526926,False,"[46695, 3946, 5951, 1531, 588, 22, 1910, 40464]","[0.46183745932526926, 0.03902796047751392, 0.058858437101288734, 0.015142373920697874, 0.005815621074703037, 0.00021759126469977352, 0.018890877980753062, 0.4002096788550743]"
A1,3,2,KYOw02756,10,clean_test,101107,9,0.6519331005766168,False,"[65915, 1917, 3452, 13265, 219, 23, 5951, 0, 9731, 634]","[0.6519331005766168, 0.018960111564975717, 0.034142047533800825, 0.1311976421019316, 0.002166022134965927, 0.0002274817767315814, 0.058858437101288734, 0.0, 0.09624457258152254, 0.0062705846281662005]"
A1,3,2,KYOw02756,12,clean_test,101107,11,0.6088797017021571,False,"[2951, 5409, 134, 4442, 61562, 0, 1568, 2106, 19722, 1, 3205, 7]","[0.029186901005865074, 0.05349777958004886, 0.001325328612262257, 0.04393365444529063, 0.6088797017021571, 0.0, 0.015508322865874766, 0.02082941833898741, 0.19506067829131515, 9.890512031807887e-06, 0.031699091061944275, 6.92335842226552e-05]"
A1,3,2,KYOw02756,14,clean_test,101107,13,0.35097470996073465,False,"[1929, 26614, 0, 2131, 1242, 522, 8, 54, 3482, 35486, 23467, 1772, 11, 4389]","[0.019078797709357415, 0.2632260872145351, 0.0, 0.021076681139782606, 0.012284015943505396, 0.005162847280603717, 7.91240962544631e-05, 0.0005340876497176259, 0.03443876289475506, 0.35097470996073465, 0.2321006458504357, 0.017525987320363576, 0.00010879563234988676, 0.043409457307604815]"
A1,3,2,KYOw02758,2,clean_test,72279,2,0.8671675037009366,False,"[62678, 9601]","[0.8671675037009366, 0.13283249629906335]"
A1,3,2,KYOw02758,4,clean_test,72279,4,0.883576142448014,False,"[63864, 28, 6120, 2267]","[0.883576142448014, 0.0003873877613137979, 0.0846718964014444, 0.03136457338922785]"
A1,3,2,KYOw02758,6,clean_test,72279,6,0.42262621231616376,False,"[138, 550, 1749, 23451, 30547, 15844]","[0.0019092682521894325, 0.0076094024543781735, 0.024197899804922592, 0.32445108537749556, 0.42262621231616376, 0.21920613179485052]"
A1,3,2,KYOw02758,8,clean_test,72279,8,0.39341994216854137,False,"[3414, 5601, 8260, 24744, 400, 1408, 16, 28436]","[0.04723363632590379, 0.07749138753994936, 0.11427938958757039, 0.3423400987838791, 0.005534110875911399, 0.019480070283208126, 0.00022136443503645596, 0.39341994216854137]"
A1,3,2,KYOw02758,10,clean_test,72279,10,0.5149490170035557,False,"[10217, 9920, 2310, 37220, 226, 1410, 71, 1, 2367, 8537]","[0.1413550270479669, 0.1372459497226027, 0.03195949030838833, 0.5149490170035557, 0.0031267726448899404, 0.019507740837587682, 0.0009823046804742733, 1.3835277189778497e-05, 0.0327481011082057, 0.11811176136913903]"
