priority,metric,window,source_metric,label,expression,kind,k,sample_id,fold,included,mean,repeat_1,repeat_2,repeat_3,undefined_reason
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,6,KYOw02716,3,True,0.05385864898562431,-0.013887763023376465,0.008800506591796875,0.16666319966316223,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,6,KYOw02717,3,True,-0.0019017457962036133,-0.00832432508468628,0.003715813159942627,-0.0010967254638671875,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,6,KYOw02719,5,True,-0.022331157699227333,0.2871550917625427,-0.3895517587661743,0.03540319204330444,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,6,KYOw02720,1,True,-0.006209393497556448,0.01402747631072998,-0.018589317798614502,-0.014066338539123535,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,6,KYOw02751,1,True,-0.019273817539215088,-0.07825005054473877,0.026571810245513916,-0.00614321231842041,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,6,KYOw02752,1,True,0.00177653634455055,-0.008864104747772217,0.008532881736755371,0.005660831928253174,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,6,KYOw02754,2,True,0.08642894774675369,0.3302066922187805,-0.05338063836097717,-0.01753920316696167,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,6,KYOw02756,3,True,0.01462195347994566,0.02646923065185547,-0.015224099159240723,0.03262072801589966,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,6,KYOw02758,3,True,0.02745952270925045,-0.0328441858291626,0.028420686721801758,0.08680206537246704,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,6,KYOw02759,5,True,0.012013256549835205,0.03208339214324951,-0.00476759672164917,0.008723974227905273,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,6,KYOw02760,3,True,0.010745744220912457,-0.028594970703125,0.009403884410858154,0.05142831802368164,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,6,KYOw02762,2,True,0.007425487041473389,0.012153685092926025,0.004077494144439697,0.006045281887054443,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,6,KYOw02763,2,True,-0.0025891661643981934,0.004713594913482666,-0.02006077766418457,0.007579684257507324,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,6,KYOw02764,2,True,-0.03033457137644291,-0.06807935237884521,-0.02674722671508789,0.0038228631019592285,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,6,KYOw02766,1,True,0.0038262605667114258,0.00470966100692749,0.0041310787200927734,0.0026380419731140137,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,6,KYOw02767,5,True,-0.015030443668365479,-0.050736308097839355,0.006286799907684326,-0.0006418228149414062,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,6,KYOw02768,4,True,-0.0021957356948405504,-0.0015076994895935059,-0.008241236209869385,0.0031617283821105957,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,6,KYOw02769,1,True,0.0029165546875447035,0.00794762372970581,-0.0003339052200317383,0.0011359453201293945,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,6,KYOw02770,2,True,-0.020617226138710976,-0.03943955898284912,-0.0036946535110473633,-0.018717467784881592,
