priority,metric,window,source_metric,label,expression,kind,k,sample_id,fold,repeat_a,repeat_b,value,undefined_reason,used_clusters,degeneracy_flags
3,ARI,,ari,ARI,A0,condition,4,KYOw02715,3,2,3,0.04315636679530144,,"[3, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02716,3,1,2,0.19672995805740356,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02716,3,1,3,0.09114529937505722,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02716,3,2,3,0.523891031742096,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02717,3,1,2,0.5224555730819702,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02717,3,1,3,0.36379069089889526,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02717,3,2,3,0.29494014382362366,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02719,5,1,2,0.05025796964764595,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02719,5,1,3,0.17938216030597687,,"[4, 3]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02719,5,2,3,0.03354322910308838,,"[4, 3]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02720,1,1,2,0.004045028239488602,,"[4, 3]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02720,1,1,3,0.38903674483299255,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02720,1,2,3,0.060641203075647354,,"[3, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02751,1,1,2,0.21660040318965912,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02751,1,1,3,0.78697669506073,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02751,1,2,3,0.1995183676481247,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02752,1,1,2,-0.0021198689937591553,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02752,1,1,3,0.20853129029273987,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02752,1,2,3,0.15679524838924408,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02754,2,1,2,0.8603747487068176,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02754,2,1,3,0.15636862814426422,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02754,2,2,3,0.15671402215957642,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02756,3,1,2,0.4556213915348053,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02756,3,1,3,0.2999686002731323,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02756,3,2,3,0.30816125869750977,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02758,3,1,2,0.46998658776283264,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02758,3,1,3,0.11630693823099136,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02758,3,2,3,0.2812567949295044,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02759,5,1,2,0.07706281542778015,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02759,5,1,3,0.14698272943496704,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02759,5,2,3,0.18914252519607544,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02760,3,1,2,0.4527921974658966,,"[4, 3]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02760,3,1,3,0.07600650191307068,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02760,3,2,3,0.06944309175014496,,"[3, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02762,2,1,2,0.8012932538986206,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02762,2,1,3,0.5125985145568848,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02762,2,2,3,0.46064862608909607,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02763,2,1,2,0.8660105466842651,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02763,2,1,3,0.16618001461029053,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02763,2,2,3,0.15746760368347168,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02764,2,1,2,0.936138927936554,,"[4, 4]",[]
