condition,pc1,pc2,pixels
B0,-0.5180520495603123,-0.19158789908953355,5
B0,-0.5180520495603123,-0.14990199842340957,11
B0,-0.5180520495603123,-0.10821609775728558,30
B0,-0.5180520495603123,-0.06653019709116148,40
B0,-0.5180520495603123,-0.024844296425037493,32
B0,-0.5180520495603123,0.016841604241086494,36
B0,-0.5180520495603123,0.05852750490721048,40
B0,-0.5180520495603123,0.10021340557333447,79
B0,-0.5180520495603123,0.14189930623945846,87
B0,-0.5180520495603123,0.18358520690558255,19
B0,-0.5180520495603123,0.22527110757170643,1
B0,-0.49423153484631466,-0.19158789908953355,6
B0,-0.49423153484631466,-0.14990199842340957,13
B0,-0.49423153484631466,-0.10821609775728558,31
B0,-0.49423153484631466,-0.06653019709116148,49
B0,-0.49423153484631466,-0.024844296425037493,34
B0,-0.49423153484631466,0.016841604241086494,49
B0,-0.49423153484631466,0.05852750490721048,34
B0,-0.49423153484631466,0.10021340557333447,71
B0,-0.49423153484631466,0.14189930623945846,116
B0,-0.49423153484631466,0.18358520690558255,29
B0,-0.47041102013231706,-0.23327379975565754,2
B0,-0.47041102013231706,-0.19158789908953355,4
B0,-0.47041102013231706,-0.14990199842340957,11
B0,-0.47041102013231706,-0.10821609775728558,36
B0,-0.47041102013231706,-0.06653019709116148,69
B0,-0.47041102013231706,-0.024844296425037493,50
B0,-0.47041102013231706,0.016841604241086494,39
B0,-0.47041102013231706,0.05852750490721048,46
B0,-0.47041102013231706,0.10021340557333447,76
B0,-0.47041102013231706,0.14189930623945846,147
B0,-0.47041102013231706,0.18358520690558255,58
B0,-0.47041102013231706,0.22527110757170643,1
B0,-0.44659050541831946,-0.19158789908953355,11
B0,-0.44659050541831946,-0.14990199842340957,18
B0,-0.44659050541831946,-0.10821609775728558,45
B0,-0.44659050541831946,-0.06653019709116148,56
B0,-0.44659050541831946,-0.024844296425037493,60
B0,-0.44659050541831946,0.016841604241086494,66
B0,-0.44659050541831946,0.05852750490721048,66
B0,-0.44659050541831946,0.10021340557333447,87
B0,-0.44659050541831946,0.14189930623945846,161
B0,-0.44659050541831946,0.18358520690558255,70
B0,-0.44659050541831946,0.22527110757170643,1
B0,-0.42276999070432186,-0.2749597004217815,1
B0,-0.42276999070432186,-0.19158789908953355,8
B0,-0.42276999070432186,-0.14990199842340957,17
B0,-0.42276999070432186,-0.10821609775728558,35
B0,-0.42276999070432186,-0.06653019709116148,63
B0,-0.42276999070432186,-0.024844296425037493,83
B0,-0.42276999070432186,0.016841604241086494,67
B0,-0.42276999070432186,0.05852750490721048,87
B0,-0.42276999070432186,0.10021340557333447,84
B0,-0.42276999070432186,0.14189930623945846,170
B0,-0.42276999070432186,0.18358520690558255,73
B0,-0.42276999070432186,0.22527110757170643,2
B0,-0.39894947599032426,-0.19158789908953355,5
B0,-0.39894947599032426,-0.14990199842340957,22
B0,-0.39894947599032426,-0.10821609775728558,35
B0,-0.39894947599032426,-0.06653019709116148,61
B0,-0.39894947599032426,-0.024844296425037493,85
B0,-0.39894947599032426,0.016841604241086494,86
