contrast,cluster,kind,wavelength_nm,difference,aggregation
B0-M00,1,reflectance,2218.2180784313728,-0.004567062606509575,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2223.678823529412,-0.004782767427183643,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2229.1395686274514,-0.004504071465417869,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2234.6003137254907,-0.004661291018224378,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2240.06105882353,-0.004856890402104019,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2245.521803921569,-0.004908450355285143,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2250.982549019608,-0.004881890869910588,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2256.4432941176474,-0.004946911995679593,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2261.9040392156867,-0.00529105020368148,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2267.364784313726,-0.005409704819274996,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2272.825529411765,-0.005255353900750437,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2278.286274509804,-0.0055461692022463205,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2283.7470196078434,-0.006036955355239015,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2289.2077647058827,-0.006272225720152763,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2294.668509803922,-0.006531419600460275,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2300.1292549019613,-0.007675164277428315,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2305.59,-0.008779623393639663,difference of equal-sample representative means; not paired
B0-M00,1,snv,913.1,-0.10993156582403762,difference of equal-sample representative means; not paired
B0-M00,1,snv,918.5607450980392,-0.09330887912088115,difference of equal-sample representative means; not paired
B0-M00,1,snv,924.0214901960785,-0.08292807669631075,difference of equal-sample representative means; not paired
B0-M00,1,snv,929.4822352941177,-0.06705822207721823,difference of equal-sample representative means; not paired
B0-M00,1,snv,934.9429803921569,-0.05571606318321165,difference of equal-sample representative means; not paired
B0-M00,1,snv,940.4037254901962,-0.050690618525915276,difference of equal-sample representative means; not paired
B0-M00,1,snv,945.8644705882353,-0.04466803594459812,difference of equal-sample representative means; not paired
B0-M00,1,snv,951.3252156862745,-0.039914439974356064,difference of equal-sample representative means; not paired
B0-M00,1,snv,956.7859607843137,-0.035002518942948146,difference of equal-sample representative means; not paired
B0-M00,1,snv,962.246705882353,-0.029714743396461518,difference of equal-sample representative means; not paired
B0-M00,1,snv,967.7074509803922,-0.026751073205222964,difference of equal-sample representative means; not paired
B0-M00,1,snv,973.1681960784314,-0.024426843004042187,difference of equal-sample representative means; not paired
B0-M00,1,snv,978.6289411764706,-0.021670493669519564,difference of equal-sample representative means; not paired
B0-M00,1,snv,984.0896862745099,-0.01856212086768627,difference of equal-sample representative means; not paired
B0-M00,1,snv,989.550431372549,-0.015468730674735642,difference of equal-sample representative means; not paired
B0-M00,1,snv,995.0111764705882,-0.01374061793061121,difference of equal-sample representative means; not paired
B0-M00,1,snv,1000.4719215686275,-0.012355064353825496,difference of equal-sample representative means; not paired
B0-M00,1,snv,1005.9326666666667,-0.010120016799870957,difference of equal-sample representative means; not paired
B0-M00,1,snv,1011.3934117647059,-0.008047466532860259,difference of equal-sample representative means; not paired
B0-M00,1,snv,1016.8541568627452,-0.0066007286084663885,difference of equal-sample representative means; not paired
B0-M00,1,snv,1022.3149019607844,-0.005281076794089623,difference of equal-sample representative means; not paired
B0-M00,1,snv,1027.7756470588236,-0.003309219724234147,difference of equal-sample representative means; not paired
B0-M00,1,snv,1033.2363921568628,-0.0019699149591043685,difference of equal-sample representative means; not paired
B0-M00,1,snv,1038.697137254902,0.000717175788612634,difference of equal-sample representative means; not paired
B0-M00,1,snv,1044.1578823529412,0.002673065583994827,difference of equal-sample representative means; not paired
B0-M00,1,snv,1049.6186274509805,0.004273223800592252,difference of equal-sample representative means; not paired
B0-M00,1,snv,1055.0793725490196,0.006100103817252123,difference of equal-sample representative means; not paired
B0-M00,1,snv,1060.5401176470589,0.00810819057888268,difference of equal-sample representative means; not paired
B0-M00,1,snv,1066.0008627450982,0.009877494027517475,difference of equal-sample representative means; not paired
B0-M00,1,snv,1071.4616078431372,0.011965200592307212,difference of equal-sample representative means; not paired
B0-M00,1,snv,1076.9223529411765,0.014618847892592157,difference of equal-sample representative means; not paired
B0-M00,1,snv,1082.3830980392158,0.016724549974306724,difference of equal-sample representative means; not paired
B0-M00,1,snv,1087.843843137255,0.01776939250630538,difference of equal-sample representative means; not paired
B0-M00,1,snv,1093.3045882352942,0.018700276081180522,difference of equal-sample representative means; not paired
B0-M00,1,snv,1098.7653333333333,0.020394375266246545,difference of equal-sample representative means; not paired
B0-M00,1,snv,1104.2260784313726,0.02265346050399697,difference of equal-sample representative means; not paired
