condition,contrast,cluster,kind,wavelength_nm,difference,aggregation
M11,M11-M00,1,reflectance,2201.8358431372553,-0.0014190089178462428,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2207.2965882352946,-0.0014444216857695258,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2212.7573333333335,-0.001536341990198753,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2218.2180784313728,-0.001461556972480904,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2223.678823529412,-0.0013352953558707359,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2229.1395686274514,-0.0013215663793795795,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2234.6003137254907,-0.0013495470077937166,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2240.06105882353,-0.0013705885982737143,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2245.521803921569,-0.0013148239936735528,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2250.982549019608,-0.0011937987750628154,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2256.4432941176474,-0.0011075707729889528,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2261.9040392156867,-0.0011025351228780567,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2267.364784313726,-0.001004461489518077,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2272.825529411765,-0.0008610213738423078,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2278.286274509804,-0.0007229287656425054,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2283.7470196078434,-0.0006508015985114968,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2289.2077647058827,-0.0005801055166455849,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2294.668509803922,-0.0004651778369398618,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2300.1292549019613,-0.0003909077796222793,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2305.59,-0.00043991871585524756,difference of equal-sample representative means; not paired
M11,M11-M00,1,snv,913.1,0.018179292663358382,difference of equal-sample representative means; not paired
M11,M11-M00,1,snv,918.5607450980392,0.011244591250415992,difference of equal-sample representative means; not paired
M11,M11-M00,1,snv,924.0214901960785,0.006289288259397008,difference of equal-sample representative means; not paired
M11,M11-M00,1,snv,929.4822352941177,0.002636202725593506,difference of equal-sample representative means; not paired
M11,M11-M00,1,snv,934.9429803921569,0.000483214239656915,difference of equal-sample representative means; not paired
M11,M11-M00,1,snv,940.4037254901962,-0.0005607841907369071,difference of equal-sample representative means; not paired
M11,M11-M00,1,snv,945.8644705882353,-0.0012819892563895596,difference of equal-sample representative means; not paired
M11,M11-M00,1,snv,951.3252156862745,-0.001635611593110431,difference of equal-sample representative means; not paired
M11,M11-M00,1,snv,956.7859607843137,-0.002082832612136487,difference of equal-sample representative means; not paired
M11,M11-M00,1,snv,962.246705882353,-0.0019416125892957048,difference of equal-sample representative means; not paired
M11,M11-M00,1,snv,967.7074509803922,-0.002182241609994584,difference of equal-sample representative means; not paired
M11,M11-M00,1,snv,973.1681960784314,-0.0025448976433628534,difference of equal-sample representative means; not paired
M11,M11-M00,1,snv,978.6289411764706,-0.002583817418497114,difference of equal-sample representative means; not paired
M11,M11-M00,1,snv,984.0896862745099,-0.0023316037884117957,difference of equal-sample representative means; not paired
M11,M11-M00,1,snv,989.550431372549,-0.0024675288233888537,difference of equal-sample representative means; not paired
